#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      pmma.mat            
#  Mass density= 1.190000E+00 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   7.90000E+04  1.76223E-01  2.29326E-02  1.30134E-01  1.30141E-01  9.99941E-01  5.0E-02  1.0001E+01
   7.95000E+04  1.75882E-01  2.29005E-02  1.30204E-01  1.30211E-01  9.99946E-01  4.9E-02  1.0001E+01
   8.00000E+04  1.75545E-01  2.29051E-02  1.30480E-01  1.30486E-01  9.99950E-01  4.9E-02  1.0001E+01
   8.05000E+04  1.75213E-01  2.28813E-02  1.30591E-01  1.30597E-01  9.99957E-01  4.8E-02  1.0001E+01
   8.10000E+04  1.74886E-01  2.28994E-02  1.30939E-01  1.30946E-01  9.99949E-01  4.8E-02  1.0001E+01
   8.15000E+04  1.74562E-01  2.29102E-02  1.31244E-01  1.31250E-01  9.99951E-01  4.7E-02  1.0001E+01
   8.20000E+04  1.74244E-01  2.29045E-02  1.31451E-01  1.31457E-01  9.99955E-01  4.7E-02  1.0001E+01
   8.25000E+04  1.73929E-01  2.29007E-02  1.31667E-01  1.31672E-01  9.99959E-01  4.7E-02  1.0001E+01
   8.30000E+04  1.73618E-01  2.29204E-02  1.32016E-01  1.32022E-01  9.99956E-01  4.7E-02  1.0001E+01
   8.35000E+04  1.73312E-01  2.29180E-02  1.32236E-01  1.32242E-01  9.99952E-01  4.6E-02  1.0001E+01
   8.40000E+04  1.73009E-01  2.29461E-02  1.32630E-01  1.32636E-01  9.99955E-01  4.6E-02  1.0001E+01
   8.45000E+04  1.72710E-01  2.29500E-02  1.32882E-01  1.32888E-01  9.99955E-01  4.5E-02  1.0001E+01
   8.50000E+04  1.72405E-01  2.29743E-02  1.33258E-01  1.33263E-01  9.99960E-01  4.5E-02  1.0001E+01
   8.55000E+04  1.72101E-01  2.29652E-02  1.33441E-01  1.33446E-01  9.99959E-01  4.5E-02  1.0001E+01
   8.60000E+04  1.71800E-01  2.29899E-02  1.33818E-01  1.33822E-01  9.99967E-01  4.5E-02  1.0001E+01
   8.65000E+04  1.71502E-01  2.30108E-02  1.34172E-01  1.34178E-01  9.99952E-01  4.4E-02  1.0001E+01
   8.70000E+04  1.71208E-01  2.30198E-02  1.34455E-01  1.34461E-01  9.99951E-01  4.4E-02  1.0001E+01
   8.75000E+04  1.70918E-01  2.30361E-02  1.34779E-01  1.34784E-01  9.99963E-01  4.4E-02  1.0001E+01
   8.80000E+04  1.70630E-01  2.30413E-02  1.35037E-01  1.35042E-01  9.99962E-01  4.3E-02  1.0001E+01
   8.85000E+04  1.70346E-01  2.30438E-02  1.35277E-01  1.35282E-01  9.99960E-01  4.3E-02  1.0001E+01
   8.90000E+04  1.70065E-01  2.30819E-02  1.35724E-01  1.35729E-01  9.99963E-01  4.3E-02  1.0001E+01
   8.95000E+04  1.69787E-01  2.30933E-02  1.36013E-01  1.36018E-01  9.99963E-01  4.2E-02  1.0001E+01
   9.00000E+04  1.69512E-01  2.31296E-02  1.36448E-01  1.36453E-01  9.99960E-01  4.2E-02  1.0001E+01
   9.05000E+04  1.69241E-01  2.31646E-02  1.36874E-01  1.36879E-01  9.99959E-01  4.2E-02  1.0001E+01
   9.10000E+04  1.68972E-01  2.31645E-02  1.37091E-01  1.37096E-01  9.99963E-01  4.2E-02  1.0001E+01
   9.15000E+04  1.68706E-01  2.31799E-02  1.37398E-01  1.37403E-01  9.99967E-01  4.1E-02  1.0001E+01
   9.20000E+04  1.68443E-01  2.31949E-02  1.37702E-01  1.37706E-01  9.99964E-01  4.1E-02  1.0001E+01
   9.25000E+04  1.68174E-01  2.32202E-02  1.38073E-01  1.38077E-01  9.99970E-01  4.1E-02  1.0001E+01
   9.30000E+04  1.67904E-01  2.32453E-02  1.38444E-01  1.38449E-01  9.99965E-01  4.1E-02  1.0001E+01
   9.35000E+04  1.67638E-01  2.32718E-02  1.38822E-01  1.38828E-01  9.99959E-01  4.0E-02  1.0001E+01
   9.40000E+04  1.67374E-01  2.33009E-02  1.39215E-01  1.39220E-01  9.99962E-01  4.0E-02  1.0001E+01
   9.45000E+04  1.67112E-01  2.33295E-02  1.39604E-01  1.39608E-01  9.99971E-01  4.0E-02  1.0001E+01
   9.50000E+04  1.66854E-01  2.33344E-02  1.39849E-01  1.39853E-01  9.99973E-01  4.0E-02  1.0001E+01
   9.55000E+04  1.66598E-01  2.33699E-02  1.40278E-01  1.40282E-01  9.99967E-01  3.9E-02  1.0001E+01
   9.60000E+04  1.66344E-01  2.33814E-02  1.40560E-01  1.40565E-01  9.99965E-01  3.9E-02  1.0001E+01
   9.65000E+04  1.66093E-01  2.34143E-02  1.40971E-01  1.40975E-01  9.99971E-01  3.9E-02  1.0001E+01
   9.70000E+04  1.65845E-01  2.34420E-02  1.41349E-01  1.41353E-01  9.99973E-01  3.9E-02  1.0001E+01
   9.75000E+04  1.65599E-01  2.34713E-02  1.41736E-01  1.41740E-01  9.99976E-01  3.9E-02  1.0001E+01
   9.80000E+04  1.65355E-01  2.34946E-02  1.42086E-01  1.42090E-01  9.99973E-01  3.9E-02  1.0001E+01
   9.85000E+04  1.65114E-01  2.35155E-02  1.42420E-01  1.42424E-01  9.99971E-01  3.9E-02  1.0001E+01
   9.90000E+04  1.64874E-01  2.35457E-02  1.42810E-01  1.42814E-01  9.99969E-01  3.8E-02  1.0001E+01
   9.95000E+04  1.64638E-01  2.35901E-02  1.43285E-01  1.43290E-01  9.99964E-01  3.8E-02  1.0001E+01
   1.00000E+05  1.64403E-01  2.36093E-02  1.43607E-01  1.43611E-01  9.99972E-01  3.8E-02  1.0001E+01
   1.00500E+05  1.64164E-01  2.36214E-02  1.43888E-01  1.43893E-01  9.99970E-01  3.8E-02  1.0001E+01
   1.01000E+05  1.63924E-01  2.36698E-02  1.44396E-01  1.44399E-01  9.99975E-01  3.8E-02  1.0001E+01
